aturday West Route Shuttle (shuttle stop for Farmer's Market - Sat ONLY),,,,,,,
Union,Sage Ave,Troy Hub,Blitman,City Station,Poly Tech,15th & College ,Union
9:30a,9:32a,9:37a,9:42a,9:45a,9:48a,9:50a,9:52a
9:52a,9:54a,9:59a,10:04a,10:07a,10:10a,10:12a,10:14a
10:14a,10:16a,10:21a,10:26a,10:29a,10:32a,10:34a,10:36a
10:36a,10:38a,10:43a,10:48a,10:51a,10:54a,10:56a,10:58a
10:58a,Drop off only at Union at 10:58a,,,,,,
11:20a,11:22a,11:27a,11:32a,11:35a,11:38a,11:40a,11:42a
11:42a,11:44a,11:49a,11:54a,11:57a,12:00p,12:02p,12:04p
12:04p,12:06p,12:11p,12:16p,12:19p,12:22p,12:24p,12:26p
12:26p,12:28p,12:33p,12:38p,12:41p,12:44p,12:46p,12;48p
12:48p,12:50p,12:55p,1:00p,1:03p,1:06p,1:08p,1:10p
1:10p,1:12p,1:17p,1:22p,1:25p,1:28p,1:30p,1:32p
1:32p,Drop off only at Union at 1:32p,,,,,,
2:12p,2:14p,2:19p,2:24p,2:27p,2:30p,2:32p,2:34p
2:34p,2:36p,2:41p,2:46p,2:49p,2:52p,2:54p,2:56p
2:56p,2:58p,3:03p,3:08p,3:11p,3:14p,3:16p,3:18p
3:18p,3:20p,3:25p,3:30p,3:33p,3:36p,3:38p,3:40p
3:40p,x,x,x,x,x,x,x
4:00p,4:02p,4:07p,4:12p,4:15p,4:17p,4:18p,4:20p
4:21p,4:23p,4:28p,4:31p,4:33p,4:35p,4:37p,4:40p
4:40p,4:42p,4:46p,4:49p,4:50p,4:52p,4:55p,5:00p
5:00p,Drop off only at Union at 5:00p,,,,,,
