Sunday West Route Shuttle,,,,,,,
Union,Sage Ave,X,Blitman,City Station,Poly Tech,15th & College ,Union
,,,,,,,
9:30a,9:32a,X,9:36a,9:38a,9:40a,9:42a,9:45p
9:45a,9:47a,X,9:51a,9:53a,9:55a,9:57a,10:00a
10:00a,10:02a,X,10:06a,10:08a,10:10a,10:12a,10:15a
10:15a,10:17a,X,10:21a,10:23a,10:25a,10:27a,10:30a
10:30a,10:32a,X,10:36a,10:38a,10:40a,10:42a,10:45a
10:45a,Drop off only at Uniont 10:45a,,,,,,
11:05a,11:07a,X,11:11a,11:13a,11:15a,11:17a,11:20a
11:20a,11:22a,X,11:26a,11:28a,11:30a,11:32a,11:35a
11:35a,11:37a,X,11:41a,11:43a,11:45a,11:47a,11:50a
11:50a,11:52a,X,11:56a,11:58a,12:00p,12:02p,12:05p
12:05p,12:07p,X,12:11p,12:13p,12:15p,12:17p,12:20p
12:20p,12:22p,X,12:26p,12:28p,12:30p,12:32p,12:35p
12:35p,Drop off only at Uniont 12:35p,,,,,,
1:15p,1:17p,X,1:21p,1:23p,1:25p,1:27p,1:30p
1:30p,1:32p,X,1:36p,1:38p,1:40p,1:42p,1:45p
1:45p,1:47p,X,1:51p,1:53p,1:55p,1:57p,2:00p
2:00p,2:02p,X,2:06p,2:08p,2:10p,2:12p,2:15p
2:15p,2:17p,X,2:21p,2:23p,2:25p,2:27p,2:30p
2:30p,2:32p,X,2:36p,2:38p,2:40p,2:42p,2:45p
2:45p,2:47p,X,2:51p,2:53p,2:55p,2:57p,3:00p
3:00p,Drop off only at Uniont 300p,,,,,,
3:20p,3:22p,X,3:26p,3:28p,3:30p,3:32p,3:35p
3:35p,3:37p,X,3:41p,3:43p,3:45p,3:47p,3:50p
3:50p,3:52p,X,3:56p,3:58p,4:00p,4:02p,4:05p
4:05p,4:07p,X,4:11p,4:13p,4:15p,4:17p,4:20p
4:20p,4:22p,X,4:25p,4:27p,4:30p,4:33p,4:36p
4:40p,4:43p,X,4:46p,4:49p,4:52p,4:55p,5:00p
5:00p,x,x,x,x,x,x,x
